description,type,protein_100g,carbs_100g,fat_100g
"beef, new zealand, imported, striploin, separable lean and fat, raw",protein,18.5,0.6,19.5
"beef, new zealand, imported, striploin, separable lean only, raw",protein,20.9,0.74,7.0
"beef, new zealand, imported, tenderloin, separable lean and fat, raw",protein,21.0,0.0,6.88
"beef, new zealand, imported, tenderloin, separable lean only, raw",protein,21.2,0.0,6.1
"beef, rib, shortribs, separable lean only, choice, cooked, braised",protein,30.8,0.0,18.1
"beef, chuck for stew, separable lean and fat, all grades, cooked, braised",protein,32.4,0.0,6.82
"beef, ground, 70% lean meat / 30% fat, loaf, cooked, baked",protein,23.9,0.0,15.4
"beef, ground, 75% lean meat / 25% fat, loaf, cooked, baked",protein,24.6,0.0,16.5
"beef, ground, 80% lean meat / 20% fat, loaf, cooked, baked",protein,25.2,0.0,16.2
"beef, ground, 85% lean meat / 15% fat, loaf, cooked, baked",protein,25.9,0.0,14.4
"beef, ground, 90% lean meat / 10% fat, loaf, cooked, baked",protein,26.6,0.0,11.1
"beef, ground, 93% lean meat / 7% fat, loaf, cooked, baked",protein,27.0,0.0,8.43
"beef, ground, 95% lean meat / 5% fat, loaf, cooked, baked",protein,27.3,0.0,6.37
"beef, ground, 97% lean meat / 3% fat, loaf, cooked, baked",protein,27.6,0.0,4.06
"beef, new zealand, imported, bolar blade, separable lean and fat, raw",protein,21.3,0.0,8.22
"beef, new zealand, imported, bolar blade, separable lean only, raw",protein,22.1,0.0,4.49
"beef, new zealand, imported, cube roll, separable lean and fat, raw",protein,18.2,1.26,16.3
"beef, new zealand, imported, cube roll, separable lean only, raw",protein,19.8,1.38,8.51
"beef, new zealand, imported, eye round, separable lean and fat, raw",protein,19.9,1.32,4.92
"beef, new zealand, imported, eye round, separable lean only, raw",protein,20.2,1.35,3.35
"beef, new zealand, imported, flank, separable lean and fat, cooked, braised",protein,30.1,0.0,9.73
"beef, new zealand, imported, flank, separable lean only, cooked, braised",protein,30.8,0.0,7.92
"beef, new zealand, imported, flat, separable lean and fat, cooked, braised",protein,31.9,0.0,13.8
"beef, new zealand, imported, flat, separable lean only, cooked, braised",protein,33.2,0.0,10.3
"beef, new zealand, imported, hind shin, separable lean and fat, raw",protein,20.6,0.0,7.2
"beef, new zealand, imported, hind shin, separable lean only, raw",protein,21.5,0.0,3.12
"beef, new zealand, imported, oyster blade, separable lean and fat, raw",protein,21.3,0.0,10.3
"beef, new zealand, imported, oyster blade, separable lean only, raw",protein,21.8,0.0,7.56
"beef, new zealand, imported, rump centre, separable lean and fat, raw",protein,21.6,0.0,6.5
"beef, new zealand, imported, rump centre, separable lean only, raw",protein,21.7,0.0,6.05
"beef, tenderloin, separable lean and fat, trimmed to 1/8"" fat, prime, raw",protein,18.2,0.0,21.8
"beef, chuck eye roast, boneless, america's beef roast, separable lean only, trimmed to 0"" fat, choice, raw",protein,20.7,0.0,6.21
